iso,temp1990,beta1,beta2,var11,var12,var22,verr
AFG,12.41093931,-0.000302084,0.000421055,1.13E-10,-2.83E-11,9.82E-12,3.82E-08
AGO,22.40226828,0.009738033,0.000439997,4.23E-09,-1.40E-09,6.18E-10,2.81E-07
ALB,12.22276366,-0.001392657,0.000479851,1.95E-10,-5.75E-11,2.26E-11,2.39E-08
AND,4.197174257,-0.008668931,0.000531608,3.88E-09,-9.61E-10,2.96E-10,2.58E-07
ARE,27.1069003,0.014042462,0.00041054,1.01E-08,-3.00E-09,1.18E-09,8.65E-07
ARG,17.84104535,0.001948816,0.000448447,8.55E-10,-3.80E-10,2.36E-10,2.26E-08
ARM,8.211142966,-0.006224058,0.000440676,1.63E-09,-3.46E-10,9.03E-11,1.24E-07
ATG,26.93434937,0.012992921,0.000449013,2.28E-08,-9.28E-09,4.96E-09,8.84E-07
AUS,17.2980681,0.01146244,0.00024323,1.35E-08,-5.41E-09,2.79E-09,4.19E-07
AUT,7.759291612,-0.006604294,0.000512854,2.01E-09,-4.85E-10,1.44E-10,1.25E-07
AZE,13.5877194,-0.00079705,0.000462932,1.26E-10,-3.77E-11,1.54E-11,1.24E-08
BDI,21.133232,0.008014768,0.000340856,2.59E-09,-8.55E-10,3.69E-10,1.58E-07
BEL,9.880848748,-0.003290579,0.000484002,7.01E-10,-2.22E-10,8.85E-11,2.77E-08
BEN,27.5587616,0.01473297,0.000344155,2.68E-08,-8.43E-09,3.51E-09,9.59E-07
BFA,28.22270817,0.01467806,0.000240888,1.33E-08,-3.77E-09,1.38E-09,9.18E-07
BGD,25.68996368,0.012396275,0.000307579,8.30E-09,-2.74E-09,1.17E-09,3.67E-07
BGR,10.76859439,-0.002224381,0.000487717,3.75E-10,-1.02E-10,3.63E-11,2.93E-08
BHR,27.66853382,0.013913945,0.000439051,1.03E-08,-2.93E-09,1.11E-09,1.11E-06
BHS,25.43125755,0.011756765,0.000346794,2.10E-08,-8.49E-09,4.42E-09,6.49E-07
BIH,9.489888456,-0.003597176,0.000489919,6.40E-10,-1.67E-10,5.53E-11,3.73E-08
BLR,6.502316324,-0.006289714,0.000482839,3.39E-09,-7.30E-10,1.89E-10,2.12E-07
BLZ,25.62323553,0.012041896,0.00037556,8.36E-09,-2.96E-09,1.37E-09,4.76E-07
BMU,23.33839515,0.009641796,0.000343311,1.32E-08,-5.08E-09,2.47E-09,4.43E-07
BOL,16.43531161,0.008789642,0.000416402,4.75E-09,-1.34E-09,4.98E-10,3.46E-07
BRA,23.54794793,0.01444006,0.000335212,1.83E-08,-6.19E-09,2.71E-09,1.01E-06
BRB,26.95525274,0.012989225,0.000485939,2.22E-08,-9.18E-09,5.13E-09,8.61E-07
BRN,27.46740122,0.013638567,0.000313811,9.40E-09,-3.67E-09,1.88E-09,3.65E-07
BTN,12.77325491,-0.002051761,0.000477203,3.83E-10,-1.17E-10,4.72E-11,8.06E-09
BWA,22.23096514,0.009489016,0.000387489,1.03E-08,-2.57E-09,8.19E-10,9.25E-07
CAF,25.77042743,0.0125009,0.000240632,7.71E-09,-2.36E-09,9.38E-10,4.45E-07
CAN,5.906530357,-0.021679076,0.000594821,8.47E-08,-1.81E-08,4.86E-09,6.06E-06
CHE,7.689114794,-0.007699009,0.00053414,2.77E-09,-6.78E-10,2.05E-10,1.63E-07
CHL,12.6307045,-0.003723534,0.000395806,2.10E-09,-7.65E-10,3.61E-10,2.21E-08
CHN,14.84273365,-0.007045913,0.000682965,5.59E-09,-1.52E-09,5.26E-10,2.17E-07
CIV,26.40096881,0.012711098,0.000497512,9.65E-09,-3.41E-09,1.61E-09,3.48E-07
CMR,25.29575458,0.011778338,0.000318717,5.13E-09,-1.72E-09,7.61E-10,2.74E-07
COD,24.43315332,0.011640666,0.000269165,4.43E-09,-1.41E-09,5.90E-10,2.73E-07
COG,25.09302473,0.011964644,0.000221848,6.01E-09,-1.96E-09,8.57E-10,2.88E-07
COL,20.7440127,0.012128809,0.000391969,8.35E-09,-2.72E-09,1.16E-09,3.97E-07
COM,24.95840052,0.011127384,0.000478142,2.31E-08,-9.04E-09,4.55E-09,7.31E-07
CPV,21.40540547,0.007619799,0.000369417,1.09E-08,-3.93E-09,1.80E-09,3.07E-07
CRI,22.88157218,0.010924537,0.00035275,1.21E-08,-4.13E-09,1.85E-09,6.24E-07
CUB,26.02399526,0.012466472,0.000337073,1.70E-08,-6.43E-09,3.18E-09,5.67E-07
CYP,18.55173409,0.005113995,0.000428986,2.31E-09,-7.74E-10,3.47E-10,1.40E-07
CZE,8.025956734,-0.005082753,0.000504308,1.33E-09,-3.41E-10,1.07E-10,7.29E-08
DEU,9.017080526,-0.004173136,0.000491334,1.07E-09,-3.03E-10,1.07E-10,4.92E-08
DJI,29.25478222,0.015002985,0.000161085,1.36E-08,-4.34E-09,1.77E-09,7.62E-07
DMA,23.52886993,0.009790102,0.000428761,1.22E-08,-4.99E-09,2.73E-09,4.74E-07
DNK,7.970419042,-0.004713648,0.000434853,2.44E-09,-7.02E-10,2.45E-10,1.01E-07
DOM,25.416238,0.010869374,0.000421986,1.15E-08,-4.16E-09,1.99E-09,4.64E-07
DZA,16.79510094,0.010334894,0.000488787,1.95E-08,-5.74E-09,2.24E-09,1.56E-06
ECU,20.99068973,0.008848472,0.000409248,6.38E-09,-2.20E-09,1.00E-09,3.10E-07
EGY,21.98922259,0.010372848,0.000418599,6.93E-09,-2.11E-09,8.38E-10,5.54E-07
ERI,22.75674818,0.013188463,0.000292749,9.22E-09,-2.71E-09,1.03E-09,6.54E-07
ESH,22.69256043,0.0106153,0.00044796,8.28E-09,-2.72E-09,1.16E-09,5.83E-07
ESP,14.26289953,-6.85E-05,0.00050115,1.37E-10,-4.64E-11,2.19E-11,1.86E-08
EST,5.144427361,-0.007439583,0.000468815,5.29E-09,-1.05E-09,2.48E-10,3.84E-07
ETH,19.79348824,0.009852743,0.000286623,5.87E-09,-1.94E-09,8.44E-10,2.65E-07
FIN,3.344602461,-0.011631971,0.00052023,1.12E-08,-2.04E-09,4.41E-10,1.01E-06
FJI,23.84879925,0.009952552,0.000488858,9.43E-09,-4.11E-09,2.37E-09,2.54E-07
FRA,11.02240811,-0.002287029,0.000490809,3.10E-10,-9.83E-11,4.07E-11,1.97E-08
FSM,27.4318814,0.013412654,0.000489018,2.78E-08,-1.11E-08,6.04E-09,1.01E-06
GAB,25.76082387,0.011602672,0.00053293,7.94E-09,-2.85E-09,1.37E-09,2.96E-07
GBR,9.2067395,-0.004028399,0.000387454,1.51E-09,-5.35E-10,2.37E-10,4.73E-08
GEO,9.464240167,-0.00544798,0.000448475,1.58E-09,-3.58E-10,9.98E-11,7.80E-08
GHA,27.10359313,0.013794253,0.000509721,1.58E-08,-5.35E-09,2.40E-09,5.04E-07
GIN,25.25350849,0.012346783,0.000370064,6.03E-09,-1.99E-09,8.67E-10,3.26E-07
GLP,24.78677631,0.010834757,0.000369371,1.49E-08,-5.78E-09,2.89E-09,4.76E-07
GMB,27.09267494,0.014645553,0.000316199,1.33E-08,-4.60E-09,2.05E-09,6.95E-07
GNB,26.95022503,0.01352433,0.000282818,8.21E-09,-2.79E-09,1.23E-09,4.69E-07
GNQ,24.46543054,0.01091514,0.000349471,4.57E-09,-1.69E-09,8.53E-10,2.65E-07
GRC,15.0807313,0.001077585,0.000466554,3.99E-10,-1.30E-10,5.91E-11,4.82E-08
GRD,26.55118951,0.012665069,0.000448547,1.99E-08,-8.15E-09,4.43E-09,7.16E-07
GTM,20.26792113,0.009956218,0.000344283,7.33E-09,-2.43E-09,1.05E-09,4.64E-07
GUF,26.24646355,0.013365546,0.000341998,1.42E-08,-5.17E-09,2.47E-09,5.78E-07
GUY,27.14788301,0.014715685,0.000576728,4.19E-08,-1.47E-08,6.92E-09,1.27E-06
HKG,23.06931075,0.010094743,0.000328937,8.07E-09,-3.02E-09,1.43E-09,3.74E-07
HND,23.12570188,0.009956186,0.000336369,7.20E-09,-2.48E-09,1.12E-09,5.34E-07
HRV,11.07765328,-0.002021777,0.000471334,2.90E-10,-8.20E-11,3.00E-11,2.63E-08
HTI,25.64118198,0.01148202,0.000400611,1.16E-08,-4.24E-09,2.05E-09,4.87E-07
HUN,10.24352176,-0.002670394,0.00049158,4.64E-10,-1.27E-10,4.38E-11,3.33E-08
IDN,26.40408978,0.012482967,0.000551847,2.00E-08,-8.27E-09,4.86E-09,4.90E-07
IND,25.67105,0.011209775,0.000289945,7.05E-09,-2.33E-09,1.02E-09,4.84E-07
IRL,9.405996778,-0.003365024,0.00039793,1.69E-09,-7.27E-10,4.03E-10,3.85E-08
IRN,15.46790442,0.003844564,0.000436893,1.46E-09,-3.94E-10,1.43E-10,1.77E-07
IRQ,22.80231043,0.008820883,0.000398971,4.39E-09,-1.10E-09,3.66E-10,4.35E-07
ISL,3.016108608,-0.011274286,0.000442175,2.07E-08,-5.98E-09,2.05E-09,8.97E-07
ISR,20.25187248,0.007251811,0.000468009,3.96E-09,-1.25E-09,5.32E-10,2.43E-07
ITA,12.99714733,-0.000889604,0.000457343,1.20E-10,-3.80E-11,1.64E-11,1.84E-08
JAM,25.44799305,0.011426166,0.00036137,1.05E-08,-4.17E-09,2.22E-09,4.08E-07
JOR,18.78712724,0.006140061,0.000474453,3.46E-09,-1.03E-09,4.15E-10,2.72E-07
JPN,14.07621978,-0.002358448,0.000530543,4.56E-10,-1.46E-10,6.11E-11,1.80E-08
KAZ,6.677084759,-0.006987127,0.000486898,2.68E-09,-5.15E-10,1.21E-10,2.32E-07
KEN,21.36266664,0.011606177,0.000402848,6.95E-09,-2.52E-09,1.19E-09,3.04E-07
KGZ,3.597584662,-0.011532904,0.000490052,1.56E-08,-2.85E-09,6.33E-10,8.40E-07
KHM,28.142036,0.014161497,0.000378991,1.35E-08,-4.89E-09,2.29E-09,4.89E-07
KNA,25.85382923,0.01196341,0.000468271,2.04E-08,-8.38E-09,4.57E-09,8.39E-07
KOR,12.07075632,-0.001630411,0.000469993,2.46E-10,-7.40E-11,2.93E-11,1.37E-08
KWT,26.11057591,0.012121318,0.000388831,7.65E-09,-1.95E-09,6.57E-10,8.30E-07
LAO,24.62600819,0.010647614,0.000382488,8.46E-09,-3.01E-09,1.34E-09,3.15E-07
LBN,16.43684089,0.002120899,0.000429429,4.74E-10,-1.52E-10,6.68E-11,3.39E-08
LBR,25.2214153,0.011482602,0.000452698,5.53E-09,-1.99E-09,9.57E-10,2.86E-07
LBY,20.78685388,0.010257924,0.000528115,1.59E-08,-5.11E-09,2.19E-09,1.23E-06
LIE,5.131755771,-0.007659751,0.000513714,3.04E-09,-7.34E-10,2.19E-10,1.95E-07
LKA,26.3118136,0.01256769,0.000487616,1.81E-08,-6.96E-09,3.51E-09,6.46E-07
LSO,12.9861025,-0.000830446,0.000434709,1.04E-10,-3.26E-11,1.39E-11,1.05E-08
LTU,6.538786414,-0.006306423,0.000481177,3.51E-09,-7.93E-10,2.15E-10,2.08E-07
LUX,9.120552556,-0.003789644,0.000482374,8.32E-10,-2.42E-10,8.81E-11,3.81E-08
LVA,5.991638038,-0.006945084,0.000480918,4.41E-09,-9.52E-10,2.45E-10,2.80E-07
MAR,17.3276442,0.004234917,0.000459298,1.64E-09,-4.98E-10,2.05E-10,1.34E-07
MDA,9.884768241,-0.003050686,0.000488994,6.46E-10,-1.64E-10,5.20E-11,4.40E-08
MDG,21.1234267,0.009398317,0.000303379,4.43E-09,-1.74E-09,8.90E-10,1.59E-07
MEX,19.80811584,0.007640791,0.000366079,3.81E-09,-1.25E-09,5.58E-10,2.71E-07
MKD,10.14393085,-0.002659657,0.000499592,3.86E-10,-1.03E-10,3.54E-11,3.29E-08
MLI,27.99838273,0.01621012,0.000237098,3.46E-08,-9.59E-09,3.48E-09,2.20E-06
MMR,25.95787893,0.010414905,0.000400673,5.14E-09,-1.89E-09,9.02E-10,2.18E-07
MNE,9.508757918,-0.004491372,0.000504236,8.92E-10,-2.23E-10,7.04E-11,4.61E-08
MNG,-1.127793342,-0.013087935,0.000552016,8.35E-09,-1.69E-09,4.23E-10,7.08E-07
MOZ,24.3944617,0.011419141,0.000356023,8.89E-09,-3.05E-09,1.36E-09,3.85E-07
MRT,28.29961059,0.016264071,0.000333452,2.50E-08,-7.44E-09,2.87E-09,1.76E-06
MTQ,26.37419297,0.012567144,0.000486705,2.70E-08,-1.10E-08,5.92E-09,9.65E-07
MUS,22.17351396,0.00831021,0.000514467,1.66E-08,-6.86E-09,3.72E-09,5.36E-07
MWI,22.70171305,0.009458528,0.000351923,5.19E-09,-1.65E-09,6.87E-10,3.05E-07
MYS,26.93545795,0.012142733,0.000400222,1.04E-08,-4.06E-09,2.13E-09,3.09E-07
NAM,21.95045889,0.007216345,0.000391422,3.88E-09,-1.07E-09,3.80E-10,3.66E-07
NCL,21.31307236,0.007762918,0.000478938,8.65E-09,-3.65E-09,2.06E-09,2.59E-07
NER,28.85189883,0.015609698,0.000348372,3.83E-08,-1.09E-08,3.99E-09,2.26E-06
NGA,27.01777454,0.014206151,0.000284446,9.91E-09,-3.15E-09,1.30E-09,4.18E-07
NIC,25.33354767,0.011400272,0.000389986,8.38E-09,-2.87E-09,1.29E-09,5.05E-07
NLD,9.652054229,-0.003284848,0.000464601,9.25E-10,-3.03E-10,1.24E-10,3.31E-08
NOR,3.514836272,-0.012748282,0.000603136,1.29E-08,-3.09E-09,8.84E-10,6.76E-07
NPL,19.84580992,-8.13E-06,0.000497329,1.25E-10,-3.91E-11,1.73E-11,1.86E-08
NRU,26.848406,0.012510622,0.000465266,4.61E-08,-1.59E-08,7.06E-09,1.96E-06
NZL,12.22999516,-0.002674904,0.000452732,5.84E-10,-2.43E-10,1.34E-10,8.48E-09
OMN,25.57636331,0.012013205,0.000338143,8.01E-09,-2.58E-09,1.10E-09,3.26E-07
PAK,23.439976,0.007247486,0.000335091,4.06E-09,-1.09E-09,3.89E-10,5.10E-07
PAN,25.70630546,0.011447505,0.000364717,1.01E-08,-3.54E-09,1.61E-09,4.31E-07
PER,18.15805888,0.007379882,0.000483768,6.44E-09,-2.16E-09,9.81E-10,2.97E-07
PHL,25.94145537,0.011578562,0.000320936,9.43E-09,-3.70E-09,1.93E-09,3.33E-07
PLW,27.64890746,0.013294381,0.000533969,1.74E-08,-7.07E-09,4.07E-09,6.91E-07
PNG,23.84809079,0.011364111,0.000430502,6.14E-09,-2.60E-09,1.53E-09,2.13E-07
POL,8.089429769,-0.00487227,0.000486173,1.63E-09,-4.14E-10,1.28E-10,8.71E-08
PRI,25.03706564,0.011027002,0.000461204,1.65E-08,-6.51E-09,3.39E-09,6.07E-07
PRK,8.280124754,-0.006990452,0.000523725,2.39E-09,-5.51E-10,1.56E-10,1.49E-07
PRT,14.96839223,0.001761275,0.000528189,5.60E-10,-2.19E-10,1.18E-10,4.25E-08
PRY,23.25285601,0.011207505,0.000370632,1.31E-08,-3.71E-09,1.32E-09,9.69E-07
PSE,19.86508725,0.006231478,0.000434301,2.38E-09,-7.48E-10,3.15E-10,1.70E-07
QAT,27.6373771,0.013981003,0.000433541,9.27E-09,-2.67E-09,1.02E-09,9.67E-07
REU,16.00842828,0.002246345,0.000419007,2.06E-09,-9.04E-10,5.28E-10,5.05E-08
ROU,9.560682268,-0.003783347,0.000489221,8.12E-10,-2.01E-10,6.22E-11,4.78E-08
RUS,4.00268945,-0.021374025,0.00051682,6.24E-08,-1.25E-08,3.07E-09,4.87E-06
RWA,19.25260272,0.006477477,0.000353993,1.58E-09,-5.31E-10,2.37E-10,8.85E-08
SAU,25.51837039,0.012082338,0.000382723,4.62E-09,-1.29E-09,4.77E-10,4.98E-07
SDN,29.0453527,0.015187934,0.000309006,2.11E-08,-6.14E-09,2.32E-09,1.36E-06
SEN,26.89900389,0.015943245,0.000341341,2.07E-08,-7.14E-09,3.18E-09,1.01E-06
SLB,24.80845962,0.011097177,0.00039257,8.62E-09,-3.65E-09,2.08E-09,2.35E-07
SLE,25.74974022,0.012849146,0.000310442,5.71E-09,-2.01E-09,9.38E-10,2.38E-07
SLV,24.5988393,0.01154154,0.000399358,1.06E-08,-3.56E-09,1.57E-09,5.80E-07
SMR,10.81849822,-0.002181503,0.000473922,3.09E-10,-8.87E-11,3.32E-11,2.62E-08
SOM,27.10983707,0.014215214,0.000295758,1.27E-08,-4.82E-09,2.39E-09,5.38E-07
SRB,11.07932462,-0.002397693,0.00048978,3.67E-10,-9.86E-11,3.41E-11,3.11E-08
SSD,28.02417794,0.014413807,0.000265415,1.08E-08,-3.23E-09,1.24E-09,5.28E-07
STP,21.21015003,0.007554564,0.000435388,5.08E-09,-1.96E-09,1.04E-09,2.30E-07
SUR,27.27627684,0.014622499,0.000617434,5.83E-08,-2.15E-08,1.09E-08,1.87E-06
SVK,7.85763946,-0.005401816,0.00050751,1.44E-09,-3.54E-10,1.06E-10,8.43E-08
SVN,9.130342699,-0.004114205,0.000492901,7.70E-10,-1.96E-10,6.30E-11,5.01E-08
SWE,5.392721507,-0.011873025,0.000526396,1.80E-08,-4.12E-09,1.12E-09,1.03E-06
SYR,17.84918056,0.005394268,0.000446893,1.76E-09,-5.03E-10,1.92E-10,1.79E-07
TCD,28.4082121,0.015649451,0.000234607,3.57E-08,-1.09E-08,4.25E-09,2.17E-06
TGO,27.0034205,0.01355137,0.00040184,1.32E-08,-4.22E-09,1.78E-09,5.30E-07
THA,27.53512133,0.013280859,0.000337251,1.14E-08,-4.03E-09,1.81E-09,4.57E-07
TJK,10.97049382,-0.009708528,0.000501323,5.68E-09,-1.06E-09,2.44E-10,5.04E-07
TKM,15.4992164,0.002192664,0.000437331,7.16E-10,-2.02E-10,7.96E-11,1.10E-07
TLS,24.53613075,0.010618795,0.000512512,2.30E-08,-8.71E-09,4.36E-09,7.39E-07
TON,22.13345535,0.008696268,0.000391647,8.89E-09,-4.00E-09,2.46E-09,2.65E-07
TTO,26.94565722,0.013123281,0.000402298,1.89E-08,-7.36E-09,3.83E-09,7.07E-07
TUN,18.3373711,0.006821137,0.000457527,5.36E-09,-1.75E-09,7.65E-10,4.13E-07
TUR,12.89599214,-0.001857678,0.000497475,2.05E-10,-5.81E-11,2.18E-11,1.67E-08
TUV,24.98353967,0.010729002,0.000373608,2.18E-08,-8.23E-09,4.06E-09,7.57E-07
TWN,20.6830769,0.004922791,0.000472757,3.82E-09,-1.58E-09,8.62E-10,7.04E-08
TZA,23.25961265,0.010198892,0.000358326,4.64E-09,-1.67E-09,7.82E-10,2.28E-07
UGA,23.08510575,0.009847926,0.000390551,5.08E-09,-1.66E-09,7.09E-10,2.28E-07
UKR,8.463687473,-0.004529175,0.000486723,1.39E-09,-3.29E-10,9.57E-11,7.67E-08
URY,17.66152465,0.005350708,0.000412161,2.56E-09,-1.13E-09,6.44E-10,7.46E-08
USA,14.02439249,-0.006083729,0.000619085,6.32E-09,-1.75E-09,6.34E-10,1.76E-07
UZB,13.25896122,-0.000646175,0.000414802,1.96E-10,-5.06E-11,1.77E-11,4.08E-08
VEN,25.15231362,0.013745415,0.000546455,2.49E-08,-8.34E-09,3.69E-09,8.41E-07
VNM,25.96455259,0.011758947,0.000387809,9.05E-09,-3.43E-09,1.67E-09,3.00E-07
VUT,23.30241511,0.009506449,0.000436403,8.72E-09,-3.64E-09,2.02E-09,2.39E-07
WSM,25.83127398,0.011826361,0.000381576,1.33E-08,-5.66E-09,3.18E-09,3.41E-07
YEM,20.6681055,0.010465004,0.000379426,1.09E-08,-3.54E-09,1.52E-09,5.41E-07
ZAF,18.57070283,0.005443139,0.000419605,3.55E-09,-1.18E-09,5.06E-10,2.82E-07
ZMB,22.43582163,0.009401325,0.000413373,5.40E-09,-1.62E-09,6.32E-10,3.66E-07
ZWE,21.28196574,0.008972471,0.000375859,5.49E-09,-1.56E-09,5.67E-10,4.51E-07